setting_id,dataset,regime,train_ratio_tag,val_ratio_tag,imbalance_level,C,n,n_val,P_train_y,P_val_y,kl_val_train,kl_train_val,w_vector,H_P_train,H_P_val,max_P_train,max_P_val,sigma_min_C_hat,cond_C_hat,bbse_err,risk_w_proxy_sel5,risk_w_proxy_sel10,risk_w_proxy_sel100
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,ag_news,valbal,cls25_25_25_25,valbal1000,mild,4,5000,1000,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.0,"[1.0, 1.0, 1.0, 1.0]",1.3862943611198906,1.3862943611198906,0.25,0.25,0.0,500000000000.0,12.000000000000009,0.0,0.0,0.0
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,ag_news,trainbal,cls25_25_25_25,valimb1000_cls55_15_15_15,mild,4,5000,1000,"[0.25, 0.25, 0.25, 0.25]","[0.55, 0.15, 0.15, 0.15]",0.2037800175056529,0.1860048777334255,"[2.2, 0.6, 0.6, 0.6]",1.3862943611198906,1.1825143436142376,0.25,0.55,0.0,500000000000.0,12.000000000000009,0.30000000000000004,0.2947000000000001,-0.00539999999999996
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,ag_news,trainbal,cls25_25_25_25,valimb1000_cls85_05_05_05,mild,4,5000,1000,"[0.25, 0.25, 0.25, 0.25]","[0.85, 0.05, 0.05, 0.05]",0.7987934300136834,0.9011345764200462,"[3.4, 0.2, 0.2, 0.2]",1.3862943611198906,0.5875009311062073,0.25,0.85,0.0,500000000000.0,12.000000000000007,0.6,0.6,-0.006099999999999994
ag_news_cls55_15_15_15_val1000_n2000_nv1000,ag_news,single,cls55_15_15_15,val1000,mild,4,2000,1000,"[0.55, 0.15, 0.15, 0.15]","[0.235, 0.261, 0.254, 0.25]",0.2062237600565032,0.22897156375809047,"[0.4272727272727272, 1.7400000000000002, 1.6933333333333334, 1.6666666666666667]",1.1825143436142376,1.3855647235587667,0.55,0.261,0.0,608276253029.822,5.283538083538079,0.0,0.0,0.0
ag_news_cls55_15_15_15_valbal1000_n5000_nv1000,ag_news,valbal,cls55_15_15_15,valbal1000,mild,4,5000,1000,"[0.55, 0.15, 0.15, 0.15]","[0.25, 0.25, 0.25, 0.25]",0.1860048777334255,0.2037800175056529,"[0.45454545454545453, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667]",1.1825143436142376,1.3862943611198906,0.55,0.25,0.0,608276253029.822,5.356265356265351,0.0,0.0,0.0
ag_news_cls85_05_05_05_val1000_n2000_nv1000,ag_news,single,cls85_05_05_05,val1000,extreme,4,2000,1000,"[0.85, 0.05, 0.05, 0.05]","[0.235, 0.261, 0.254, 0.25]",0.9443624141420135,0.8484408812432208,"[0.27647058823529413, 5.22, 5.08, 5.0]",0.5875009311062073,1.3855647235587667,0.85,0.261,0.0,854400374531.753,12.283803384367445,0.0,0.0,0.0
ag_news_cls85_05_05_05_valbal1000_n5000_nv1000,ag_news,valbal,cls85_05_05_05,valbal1000,extreme,4,5000,1000,"[0.85, 0.05, 0.05, 0.05]","[0.25, 0.25, 0.25, 0.25]",0.9011345764200462,0.7987934300136834,"[0.29411764705882354, 5.0, 5.0, 5.0]",0.5875009311062073,1.3862943611198906,0.85,0.25,0.0,854400374531.753,11.966156325543915,0.0,0.0,0.0
mnli_cls33_33_33_valbal1000_n5000_nv1000,mnli,valbal,cls33_33_33,valbal1000,mild,3,5000,1000,"[0.333, 0.333, 0.334]","[0.333, 0.333, 0.334]",0.0,0.0,"[1.0, 1.0, 1.0]",1.0986112890009434,1.0986112890009434,0.334,0.334,0.0,577350846539.6063,5.999982000036001,0.0,0.0,0.0
mnli_cls33_33_33_valimb1000_cls60_20_20_n5000_nv1000,mnli,trainbal,cls33_33_33,valimb1000_cls60_20_20,mild,3,5000,1000,"[0.333, 0.333, 0.334]","[0.6, 0.2, 0.2]",0.1487425491692072,0.14498873130667636,"[1.8018018018018016, 0.6006006006006006, 0.5988023952095808]",1.0986112890009434,0.9502705392332347,0.334,0.6,0.0,577350846539.6063,5.998777202424018,0.2667,0.2667,0.010700000000000043
mnli_cls33_33_33_valimb1000_cls90_05_05_n5000_nv1000,mnli,trainbal,cls33_33_33,valimb1000_cls90_05_05,mild,3,5000,1000,"[0.333, 0.333, 0.334]","[0.9, 0.05, 0.05]",0.7050651724044374,0.9346271891736246,"[2.7027027027027026, 0.15015015015015015, 0.1497005988023952]",1.0986112890009434,0.39439769144744274,0.334,0.9,0.0,577350846539.6063,5.9974285483807535,0.5667,0.5667,0.024599999999999955
mnli_cls60_20_20_val1000_n2000_nv1000,mnli,single,cls60_20_20,val1000,mild,3,2000,1000,"[0.6, 0.2, 0.2]","[0.372, 0.306, 0.322]",0.10565001471976496,0.10652109768565668,"[0.62, 1.5299999999999998, 1.6099999999999999]",0.9502705392332347,1.0951041263297985,0.6,0.372,0.0,663324958071.0801,3.0581818181818163,0.0,0.0,0.0
mnli_cls60_20_20_valbal1000_n5000_nv1000,mnli,valbal,cls60_20_20,valbal1000,mild,3,5000,1000,"[0.6, 0.2, 0.2]","[0.333, 0.333, 0.334]",0.14498873130667636,0.1487425491692072,"[0.555, 1.665, 1.67]",0.9502705392332347,1.0986112890009434,0.6,0.334,0.0,663324958071.0801,2.928181818181816,0.0,0.0,0.0
mnli_cls90_05_05_val1000_n2000_nv1000,mnli,single,cls90_05_05,val1000,extreme,3,2000,1000,"[0.9, 0.05, 0.05]","[0.372, 0.306, 0.322]",0.8254098532868192,0.611446286314023,"[0.41333333333333333, 6.119999999999999, 6.4399999999999995]",0.39439769144744274,1.0951041263297985,0.9,0.372,0.0,902773504263.3894,10.91967280163599,0.0,0.0,0.0
mnli_cls90_05_05_valbal1000_n5000_nv1000,mnli,valbal,cls90_05_05,valbal1000,extreme,3,5000,1000,"[0.9, 0.05, 0.05]","[0.333, 0.333, 0.334]",0.9346271891736246,0.7050651724044374,"[0.37, 6.66, 6.68]",0.39439769144744274,1.0986112890009434,0.9,0.334,0.0,902773504263.3894,11.743006134969324,0.0,0.0,0.0
mr_pos50_valbal1000_n4500_nv1000,mr,valbal,pos50,valbal1000,mild,2,4500,1000,"[0.5, 0.5]","[0.5, 0.5]",0.0,0.0,"[1.0, 1.0]",0.6931471805599453,0.6931471805599453,0.5,0.5,0.0,707106781186.5476,1.9999999999999987,0.0,0.0,0.0
mr_pos50_valimb500_pos70_n4500_nv500,mr,trainbal,pos50,valimb500_pos70,mild,2,4500,500,"[0.5, 0.5]","[0.3, 0.7]",0.08228287850505175,0.08717669357238891,"[0.6, 1.4]",0.6931471805599453,0.6108643020548934,0.5,0.7,0.0,707106781186.5476,1.999999999999999,0.19999999999999996,0.19999999999999996,0.0035999999999999366
mr_pos50_valimb500_pos90_n4500_nv500,mr,trainbal,pos50,valimb500_pos90,mild,2,4500,500,"[0.5, 0.5]","[0.1, 0.9]",0.3680642071684971,0.5108256237659907,"[0.2, 1.8]",0.6931471805599453,0.3250829733914482,0.5,0.9,0.0,707106781186.5476,1.9999999999999987,0.4,0.4,-0.01419999999999999
mr_pos70_val1066_n2000_nv1066,mr,single,pos70,val1066,mild,2,2000,1066,"[0.3, 0.7]","[0.5, 0.5]",0.08717669357238891,0.08228287850505175,"[1.6666666666666667, 0.7142857142857143]",0.6108643020548934,0.6931471805599453,0.7,0.5,0.0,761577310586.3907,1.0673234811165833,0.0,0.0,0.0
mr_pos70_valbal1000_n4500_nv1000,mr,valbal,pos70,valbal1000,mild,2,4500,1000,"[0.3, 0.7]","[0.5, 0.5]",0.08717669357238891,0.08228287850505175,"[1.6666666666666667, 0.7142857142857143]",0.6108643020548934,0.6931471805599453,0.7,0.5,0.0,761577310586.3907,1.0673234811165833,0.0,0.0,0.0
mr_pos90_val1066_n2000_nv1066,mr,single,pos90,val1066,extreme,2,2000,1066,"[0.1, 0.9]","[0.5, 0.5]",0.5108256237659907,0.3680642071684971,"[5.0, 0.5555555555555556]",0.3250829733914482,0.6931471805599453,0.9,0.5,0.0,905538513813.7417,4.444444444444445,0.0,0.0,0.0
mr_pos90_valbal1000_n4500_nv1000,mr,valbal,pos90,valbal1000,extreme,2,4500,1000,"[0.1, 0.9]","[0.5, 0.5]",0.5108256237659907,0.3680642071684971,"[5.0, 0.5555555555555556]",0.3250829733914482,0.6931471805599453,0.9,0.5,0.0,905538513813.7417,4.444444444444445,0.0,0.0,0.0
mrpc_pos50_val408_n2000_nv408,mrpc,single,pos50,val408,mild,2,2000,408,"[0.5, 0.5]","[0.3161764705882353, 0.6838235294117647]",0.06919345539798144,0.07260790075269757,"[0.6323529411764706, 1.3676470588235294]",0.6931471805599453,0.6239537251619638,0.5,0.6838235294117647,0.0,707106781186.5476,1.9999999999999987,0.0,0.0,0.0
mrpc_pos50_valbal258_n2300_nv258,mrpc,valbal,pos50,valbal258,mild,2,2300,258,"[0.5, 0.5]","[0.5, 0.5]",0.0,0.0,"[1.0, 1.0]",0.6931471805599453,0.6931471805599453,0.5,0.5,0.0,707106781186.5476,1.9999999999999987,0.0,0.0,0.0
mrpc_pos50_valimb300_pos70_n2300_nv300,mrpc,trainbal,pos50,valimb300_pos70,mild,2,2300,300,"[0.5, 0.5]","[0.3, 0.7]",0.08228287850505175,0.08717669357238891,"[0.6, 1.4]",0.6931471805599453,0.6108643020548934,0.5,0.7,0.0,707106781186.5476,1.999999999999999,0.19999999999999996,0.19999999999999996,0.021199999999999997
mrpc_pos50_valimb300_pos90_n2300_nv300,mrpc,trainbal,pos50,valimb300_pos90,mild,2,2300,300,"[0.5, 0.5]","[0.1, 0.9]",0.3680642071684971,0.5108256237659907,"[0.2, 1.8]",0.6931471805599453,0.3250829733914482,0.5,0.9,0.0,707106781186.5476,1.9999999999999987,0.4,0.4,0.022199999999999998
mrpc_pos70_val408_n2000_nv408,mrpc,single,pos70,val408,mild,2,2000,408,"[0.3, 0.7]","[0.3161764705882353, 0.6838235294117647]",0.0006168658109579513,0.0006109037658106886,"[1.053921568627451, 0.9768907563025211]",0.6108643020548934,0.6239537251619638,0.7,0.6838235294117647,0.0,761577310586.3907,1.4174635371389923,0.0,0.0,0.0
mrpc_pos70_valbal258_n2300_nv258,mrpc,valbal,pos70,valbal258,mild,2,2300,258,"[0.3, 0.7]","[0.5, 0.5]",0.08717669357238891,0.08228287850505175,"[1.6666666666666667, 0.7142857142857143]",0.6108643020548934,0.6931471805599453,0.7,0.5,0.0,761577310586.3907,1.0673234811165833,0.0,0.0,0.0
mrpc_pos90_val408_n2000_nv408,mrpc,single,pos90,val408,extreme,2,2000,408,"[0.1, 0.9]","[0.3161764705882353, 0.6838235294117647]",0.17611750244775523,0.13211235693731718,"[3.161764705882353, 0.7598039215686274]",0.3250829733914482,0.6239537251619638,0.9,0.6838235294117647,0.0,905538513813.7417,2.4019607843137254,0.0,0.0,0.0
mrpc_pos90_valbal258_n2300_nv258,mrpc,valbal,pos90,valbal258,extreme,2,2300,258,"[0.1, 0.9]","[0.5, 0.5]",0.5108256237659907,0.3680642071684971,"[5.0, 0.5555555555555556]",0.3250829733914482,0.6931471805599453,0.9,0.5,0.0,905538513813.7417,4.444444444444445,0.0,0.0,0.0
qqp_pos10_val1000_n2000_nv1000,qqp,single,pos10,val1000,extreme,2,2000,1000,"[0.9, 0.1]","[0.618, 0.382]",0.2796655644146896,0.2042906330181096,"[0.6866666666666666, 3.82]",0.3250829733914482,0.6650347397855724,0.9,0.618,0.0,905538513813.7417,3.1333333333333333,0.0,0.0,0.0
qqp_pos10_valbal1000_n5000_nv1000,qqp,valbal,pos10,valbal1000,extreme,2,5000,1000,"[0.9, 0.1]","[0.5, 0.5]",0.5108256237659907,0.3680642071684971,"[0.5555555555555556, 5.0]",0.3250829733914482,0.6931471805599453,0.9,0.5,0.0,905538513813.7417,4.444444444444445,0.0,0.0,0.0
qqp_pos30_val1000_n2000_nv1000,qqp,single,pos30,val1000,mild,2,2000,1000,"[0.7, 0.3]","[0.618, 0.382]",0.015307986821071762,0.014722874124887389,"[0.8828571428571429, 1.2733333333333334]",0.6108643020548934,0.6650347397855724,0.7,0.618,0.0,761577310586.3907,1.2920853858784898,0.0,0.0,0.0
qqp_pos30_valbal1000_n5000_nv1000,qqp,valbal,pos30,valbal1000,mild,2,5000,1000,"[0.7, 0.3]","[0.5, 0.5]",0.08717669357238891,0.08228287850505175,"[0.7142857142857143, 1.6666666666666667]",0.6108643020548934,0.6931471805599453,0.7,0.5,0.0,761577310586.3907,1.0673234811165848,0.0,0.0,0.0
qqp_pos50_val1000_n2000_nv1000,qqp,single,pos50,val1000,mild,2,2000,1000,"[0.5, 0.5]","[0.618, 0.382]",0.028112440774372874,0.02865356539005874,"[1.236, 0.764]",0.6931471805599453,0.6650347397855724,0.5,0.618,0.0,707106781186.5476,1.9999999999999987,0.0,0.0,0.0
qqp_pos50_valbal1000_n5000_nv1000,qqp,valbal,pos50,valbal1000,mild,2,5000,1000,"[0.5, 0.5]","[0.5, 0.5]",0.0,0.0,"[1.0, 1.0]",0.6931471805599453,0.6931471805599453,0.5,0.5,0.0,707106781186.5476,1.9999999999999987,0.0,0.0,0.0
qqp_pos50_valimb1000_pos10_n5000_nv1000,qqp,trainbal,pos50,valimb1000_pos10,mild,2,5000,1000,"[0.5, 0.5]","[0.9, 0.1]",0.3680642071684971,0.5108256237659907,"[1.8, 0.2]",0.6931471805599453,0.3250829733914482,0.5,0.9,0.0,707106781186.5476,1.9999999999999987,0.4,0.4,-0.07640000000000002
qqp_pos50_valimb1000_pos30_n5000_nv1000,qqp,trainbal,pos50,valimb1000_pos30,mild,2,5000,1000,"[0.5, 0.5]","[0.7, 0.3]",0.08228287850505175,0.08717669357238891,"[1.4, 0.6]",0.6931471805599453,0.6108643020548934,0.5,0.7,0.0,707106781186.5476,1.999999999999999,0.19999999999999996,0.19999999999999996,-0.026599999999999957
rte_pos10_val277_n1300_nv277,rte,single,pos10,val277,extreme,2,1300,277,"[0.9, 0.1]","[0.5270758122743683, 0.4729241877256318]",0.45280090022793434,0.3261688409382722,"[0.5856397914159648, 4.729241877256317]",0.3250829733914482,0.691680263917418,0.9,0.5270758122743683,0.0,905538513813.7417,4.143602085840352,0.0,0.0,0.0
rte_pos30_val277_n1300_nv277,rte,single,pos30,val277,mild,2,1300,277,"[0.7, 0.3]","[0.5270758122743683, 0.4729241877256318]",0.06570233240659851,0.06206937197626389,"[0.7529654461062405, 1.5764139590854394]",0.6108643020548934,0.691680263917418,0.7,0.5270758122743683,0.0,761577310586.3907,1.1188964568772861,0.0,0.0,0.0
rte_pos50_val277_n1300_nv277,rte,single,pos50,val277,mild,2,1300,277,"[0.5, 0.5]","[0.5270758122743683, 0.4729241877256318]",0.0014669166425273494,0.0014683531726491193,"[1.0541516245487366, 0.9458483754512635]",0.6931471805599453,0.691680263917418,0.5,0.5270758122743683,0.0,707106781186.5476,1.9999999999999987,0.0,0.0,0.0
rte_pos50_valbal262_n1300_nv262,rte,valbal,pos50,valbal262,mild,2,1300,262,"[0.5, 0.5]","[0.5, 0.5]",0.0,0.0,"[1.0, 1.0]",0.6931471805599453,0.6931471805599453,0.5,0.5,0.0,707106781186.5476,1.9999999999999987,0.0,0.0,0.0
rte_pos50_valimb145_pos70_n1300_nv145,rte,trainbal,pos50,valimb145_pos70,mild,2,1300,145,"[0.5, 0.5]","[0.296551724137931, 0.7034482758620689]",0.08523296868984553,0.09050009737171233,"[0.593103448275862, 1.4068965517241379]",0.6931471805599453,0.6079142118700998,0.5,0.7034482758620689,0.0,707106781186.5476,1.9999999999999987,0.19190000000000007,0.19669999999999999,-0.009299999999999975
rte_pos50_valimb145_pos90_n1300_nv145,rte,trainbal,pos50,valimb145_pos90,mild,2,1300,145,"[0.5, 0.5]","[0.10344827586206896, 0.896551724137931]",0.36055296624805266,0.49579423608173284,"[0.20689655172413793, 1.793103448275862]",0.6931471805599453,0.3325942143118925,0.5,0.896551724137931,0.0,707106781186.5476,1.9999999999999987,0.39659999999999995,0.39659999999999995,-0.06509999999999994
rte_pos70_valbal262_n1300_nv262,rte,valbal,pos70,valbal262,mild,2,1300,262,"[0.3, 0.7]","[0.5, 0.5]",0.08717669357238891,0.08228287850505175,"[1.6666666666666667, 0.7142857142857143]",0.6108643020548934,0.6931471805599453,0.7,0.5,0.0,761577310586.3907,1.0673234811165833,0.0,0.0,0.0
rte_pos90_valbal262_n1300_nv262,rte,valbal,pos90,valbal262,extreme,2,1300,262,"[0.1, 0.9]","[0.5, 0.5]",0.5108256237659907,0.3680642071684971,"[5.0, 0.5555555555555556]",0.3250829733914482,0.6931471805599453,0.9,0.5,0.0,905538513813.7417,4.444444444444445,0.0,0.0,0.0
sst2_pos50_valbal856_n5000_nv856,sst2,valbal,pos50,valbal856,mild,2,5000,856,"[0.5, 0.5]","[0.5, 0.5]",0.0,0.0,"[1.0, 1.0]",0.6931471805599453,0.6931471805599453,0.5,0.5,0.0,707106781186.5476,1.9999999999999987,0.0,0.0,0.0
sst2_pos50_valimb400_pos70_n5000_nv400,sst2,trainbal,pos50,valimb400_pos70,mild,2,5000,400,"[0.5, 0.5]","[0.3, 0.7]",0.08228287850505175,0.08717669357238891,"[0.6, 1.4]",0.6931471805599453,0.6108643020548934,0.5,0.7,0.0,707106781186.5476,1.999999999999999,0.19999999999999996,0.19999999999999996,-0.018799999999999928
sst2_pos50_valimb400_pos90_n5000_nv400,sst2,trainbal,pos50,valimb400_pos90,mild,2,5000,400,"[0.5, 0.5]","[0.1, 0.9]",0.3680642071684971,0.5108256237659907,"[0.2, 1.8]",0.6931471805599453,0.3250829733914482,0.5,0.9,0.0,707106781186.5476,1.9999999999999987,0.4,0.4,-0.040000000000000036
sst2_pos70_val872_n2000_nv872,sst2,single,pos70,val872,mild,2,2000,872,"[0.3, 0.7]","[0.4908256880733945, 0.5091743119266054]",0.07957166415204628,0.07511096947698981,"[1.636085626911315, 0.7273918741808649]",0.6108643020548934,0.6929788351143502,0.7,0.5091743119266054,0.0,761577310586.3907,1.0847983609767844,0.0,0.0,0.0
sst2_pos70_valbal856_n5000_nv856,sst2,valbal,pos70,valbal856,mild,2,5000,856,"[0.3, 0.7]","[0.5, 0.5]",0.08717669357238891,0.08228287850505175,"[1.6666666666666667, 0.7142857142857143]",0.6108643020548934,0.6931471805599453,0.7,0.5,0.0,761577310586.3907,1.0673234811165833,0.0,0.0,0.0
sst2_pos90_val872_n2000_nv872,sst2,single,pos90,val872,extreme,2,2000,872,"[0.1, 0.9]","[0.4908256880733945, 0.5091743119266054]",0.4908359455662992,0.3535520247703495,"[4.908256880733945, 0.565749235474006]",0.3250829733914482,0.6929788351143502,0.9,0.5091743119266054,0.0,905538513813.7417,4.342507645259939,0.0,0.0,0.0
sst2_pos90_valbal856_n5000_nv856,sst2,valbal,pos90,valbal856,extreme,2,5000,856,"[0.1, 0.9]","[0.5, 0.5]",0.5108256237659907,0.3680642071684971,"[5.0, 0.5555555555555556]",0.3250829733914482,0.6931471805599453,0.9,0.5,0.0,905538513813.7417,4.444444444444445,0.0,0.0,0.0
